lon,lat,e_vel,n_vel,e_err,n_err,cve,site
79.964000,37.100000,-2.910620,16.240000,0.199881,0.205819,0.000000,I087
87.000000,43.500000,3.830000,6.194349,0.115482,0.116653,0.000000,I355
81.110000,43.495000,2.200000,6.454858,0.167813,0.206835,0.000000,I356
88.000000,43.500000,3.995296,5.340000,0.120100,0.121012,0.000000,I358
94.000000,43.400000,4.170000,2.980000,0.103421,0.142787,0.000000,I360
91.315000,41.007500,4.105000,6.673584,0.197528,0.186163,0.000000,I389
74.831500,38.861000,-3.043312,20.708791,0.208806,0.206155,0.000000,I402
74.900000,38.200000,-2.725954,19.690000,0.119432,0.112907,0.000000,I403
75.769000,37.840000,-1.800377,21.478327,0.223607,0.279330,0.000000,I407
78.995000,37.105000,-1.183800,18.069897,0.558793,0.572931,0.000000,I417
78.050500,36.344500,-2.917222,19.527669,0.300926,0.301672,0.000000,I419
77.005000,36.580000,-2.545000,20.827674,0.151612,0.145639,0.000000,J047
80.340500,34.439000,-0.166608,18.136082,0.275862,0.241299,0.000000,J315
93.360000,35.350000,25.630494,6.074277,0.130000,0.130000,0.000000,J374
94.100000,35.600000,23.050000,3.773020,0.110397,0.086241,0.000000,J377
94.100000,35.700000,14.836219,8.353020,0.149562,0.138654,0.000000,J379
94.750000,34.920000,22.249864,6.538794,0.140000,0.210000,0.000000,J384
94.873000,36.430000,7.855723,8.127455,0.190120,0.190089,0.000000,JB30
93.410000,38.809000,6.905994,6.492835,0.156474,0.173393,0.000000,JB31
90.982000,38.590000,6.246000,9.072000,0.139700,0.164793,0.000000,JB32
93.626000,42.810000,4.190745,4.287057,0.122960,0.160640,0.000000,JB43
75.921500,39.518500,2.421000,16.951000,0.228446,0.282064,0.000000,JB48
93.052000,35.090000,24.660000,8.637723,0.182052,0.157117,0.000000,JB51
79.581000,35.460000,-1.382275,16.868864,0.165939,0.192065,0.000000,JB55
90.800000,38.490000,7.385000,9.971328,0.087501,0.089925,0.000000,QHMY
75.231000,37.775000,-3.127776,21.484346,0.124188,0.125603,0.000000,TASH
81.526000,43.972205,2.996307,6.843445,0.150194,0.156097,0.000000,XJYN
81.970000,36.430000,-2.648647,14.577410,0.111593,0.109871,0.000000,XJYT
30.404260,40.880005,-5.186697,-1.475899,0.440710,0.494495,0.000000,CLTK
30.461750,40.477860,-22.731500,0.366994,0.390000,0.420000,0.000000,DGCT
30.293560,41.048250,2.659352,2.607604,0.570000,0.610000,0.000000,KANR
30.301705,40.782610,-6.355794,2.921784,0.622013,0.652993,0.000000,KAZI
30.229370,41.186800,2.569361,3.687835,0.370000,0.400000,0.000000,KFKT
30.322600,40.610820,-18.595042,-0.014255,0.546260,0.552472,0.000000,SEFI
30.453360,40.350610,-23.562065,0.707024,0.380000,0.410000,0.000000,SEYH
30.130000,40.745000,-8.743000,-0.168000,0.489285,0.516419,0.000000,SISL
30.134015,40.689860,-13.864668,1.195589,0.382835,0.403128,0.000000,SMAS
66.896864,38.673769,0.246677,-0.236156,0.000000,0.000000,0.000000,TASH
70.638342,41.996569,0.298446,0.409788,0.000000,0.000000,0.000000,MTAL
67.113000,24.931000,6.474000,29.148000,0.166012,0.113278,0.000000,KCHI
66.601200,29.105915,5.430653,18.157581,0.526806,0.505594,0.000000,KALT
66.223795,26.195010,6.080258,29.300828,0.350036,0.328824,0.000000,LAKC
66.129400,26.182000,7.004000,25.426525,0.444735,0.402230,0.000000,SHFD
65.605320,26.392700,5.863000,13.411339,0.483287,0.459964,0.000000,ZHAO
64.110000,26.978000,2.267000,2.234908,0.454215,0.413830,0.000000,PANG
63.468200,25.258910,4.816838,17.284323,0.784889,0.682367,0.000000,PASN
62.320165,25.144040,5.639921,7.996897,0.240416,0.215697,0.000000,GWAD
62.318310,27.390220,3.180550,3.495813,0.145774,0.113358,0.000000,SRVN
60.651115,25.280800,3.107353,5.945264,0.194165,0.481923,0.000000,CHBR
59.448505,27.482180,3.801383,6.815470,0.156205,0.209344,0.000000,GLMT
58.881260,28.937330,0.463941,7.830219,0.220000,0.200000,0.000000,FHRJ
56.314225,27.205555,5.204554,24.471178,0.167108,0.165076,0.000000,BABS
72.847000,24.007000,9.156088,31.375513,0.240000,0.150000,0.000000,DHAR
72.779000,24.653000,8.526227,31.025323,0.150000,0.170000,0.000000,MABU
72.668000,23.159000,8.450999,31.125962,0.270000,0.110000,0.000000,ISRR
72.012000,21.630000,9.652385,31.641791,0.500000,0.200000,0.000000,DEVA
71.617000,23.819000,9.609158,30.622666,0.220000,0.160000,0.000000,RADA
70.926000,20.977000,10.130977,30.795811,0.200000,0.100000,0.000000,UNAG
70.801000,23.874000,8.051729,29.137994,0.500000,0.290000,0.000000,BELA
70.686000,23.742000,8.261676,29.324690,0.180000,0.130000,0.000000,DESA
70.658000,23.559000,7.389199,30.391694,0.270000,0.120000,0.000000,RAPA
70.571000,23.475000,7.718301,30.491264,0.130000,0.100000,0.000000,BADA
70.431000,23.425000,7.767124,30.016055,0.210000,0.110000,0.000000,VAMK
70.349000,23.300000,7.830830,30.857778,0.190000,0.100000,0.000000,BHAC
69.963000,22.347000,8.903010,30.986760,0.240000,0.150000,0.000000,LALP
69.196000,24.215000,7.083048,28.742980,0.170000,0.170000,0.000000,VKOT
69.395000,23.025000,8.371099,30.777885,0.180000,0.270000,0.000000,VAND
69.036000,22.288000,8.973266,31.006429,0.130000,0.140000,0.000000,DWAR
69.713000,23.991000,6.482253,28.548774,0.350000,0.210000,0.000000,KUAR
69.766000,23.922000,4.603129,31.833833,0.290000,0.310000,0.000000,KHAV*
70.408000,23.609000,6.377888,29.755324,0.080000,0.070000,0.000000,EKAL#
70.694000,23.898000,7.675131,28.978401,0.080000,0.070000,0.000000,GADH#
70.373000,23.866000,7.494438,29.558984,0.080000,0.060000,0.000000,GIBF#
70.142000,23.285000,7.706184,31.190872,0.090000,0.060000,0.000000,CHAD#
69.852000,23.354000,7.616517,31.494444,0.090000,0.060000,0.000000,HUBA#
77.120000,28.480000,6.151239,33.201193,0.060000,0.050000,0.000000,DELI
90.380000,37.360000,7.412943,17.467668,0.500000,0.500000,0.000000,QMTC_GPS
103.600000,32.600000,12.370000,-3.880350,0.155449,0.128905,0.000000,H030
102.100000,31.470000,10.834691,-3.083532,0.207694,0.196676,0.000000,H047
101.866010,30.949350,16.998000,-4.539000,0.800000,0.200000,0.000000,H052
101.558410,29.846410,12.627985,-11.962715,0.263795,0.261908,0.000000,H074
100.342755,28.559000,10.980612,-12.240639,0.291548,0.269258,0.000000,H330
101.082680,30.586100,18.211850,-9.632019,0.243790,0.206258,0.000000,H343
101.400000,30.600000,17.933106,-8.782840,0.112694,0.112472,0.000000,H345
101.777205,30.600000,11.086592,-1.450167,0.128647,0.180485,0.000000,H355
102.141460,31.941500,15.123000,-5.470000,0.300000,0.400000,0.000000,J411
102.502000,31.352510,18.634000,-5.380000,0.500000,0.200000,0.000000,J412
102.832890,31.637660,17.455000,-7.398000,0.400000,0.300000,0.000000,J413
103.700000,32.000000,17.378698,-2.691471,0.284761,0.150923,0.000000,J415
103.582410,32.648430,12.114000,-4.612000,0.300000,0.200000,0.000000,SCSP
99.800000,28.937000,13.913202,-11.330000,0.134389,0.128013,0.000000,SCXC
102.386065,31.000000,12.577000,-0.724448,0.238310,0.230082,0.000000,SCXJ
77.500000,34.800000,-1.165598,19.567363,0.700000,0.700000,0.000000,TKSH
77.600000,34.700000,-1.566367,20.195308,0.700000,0.700000,0.000000,PNMK
77.600000,34.600000,-1.566338,19.795308,0.700000,0.700000,0.000000,TRTH
78.200000,34.000000,-2.367982,18.563019,0.600000,0.600000,0.000000,TNGS
78.300000,34.000000,-1.868490,18.090977,0.600000,0.600000,0.000000,MGLB
78.400000,34.000000,-1.368971,17.818937,0.600000,0.600000,0.000000,LKNG
78.700000,33.600000,-0.867161,18.502824,0.600000,0.600000,0.000000,CHSL
77.600000,34.128000,-3.325053,19.671000,0.272176,0.219722,0.000000,LEH1
78.680000,33.204500,-0.342850,17.731412,0.460977,0.442295,0.000000,MUTH
78.986500,32.790000,-1.450436,19.437166,0.265401,0.243015,0.000000,HANL
77.171000,28.542000,8.108369,31.529080,0.610328,0.594054,0.000000,JNUC
80.231000,26.514650,8.586748,34.721050,0.520384,0.515388,0.000000,IITK
85.790000,20.260000,12.829509,38.773485,0.640000,0.630000,0.000000,BHUB
73.881000,18.559000,12.158463,33.454965,0.661154,0.654160,0.000000,PUNE
77.470000,10.230000,18.072590,33.698977,0.331897,0.322439,0.000000,KODI
77.590000,11.160000,18.361760,35.022510,0.530000,0.530000,0.000000,CHEN
77.560000,10.430000,18.936135,34.484127,0.540000,0.530000,0.000000,PLNI
78.460000,10.660000,18.978520,35.045711,0.550000,0.530000,0.000000,MANP
93.925000,24.749000,2.563500,23.748000,0.259976,0.243683,0.000000,IMPH
74.300000,34.200000,0.892187,26.704770,1.070000,1.050000,0.000000,BARM
78.600000,17.400000,13.883405,34.067430,0.378451,0.379473,0.000000,HYDE
79.900000,6.900000,19.329815,35.038459,0.860000,0.840000,0.000000,SGOC
114.400000,30.500000,6.463340,-1.851396,0.383047,0.316741,0.000000,WUHN
127.521000,50.257000,0.137000,0.707000,0.200000,0.200000,0.000000,BLAG
128.028000,50.257000,-0.338000,-0.203000,0.190000,0.220000,0.000000,TAMB
128.223000,49.913000,0.440000,0.160000,0.250000,0.240000,0.000000,POLT
130.014000,50.101000,-0.209000,0.847000,0.220000,0.220000,0.000000,TALA
130.220000,49.407000,0.588000,0.534000,0.210000,0.180000,0.000000,ARHA
131.602000,48.954000,0.688000,-0.194000,0.220000,0.200000,0.000000,SUTA
88.936000,26.965000,14.082000,34.691000,1.100000,0.700000,0.000000,JITI
88.753000,26.881000,15.697000,37.795000,1.000000,0.600000,0.000000,PMSM
88.738000,26.751000,16.107000,38.853000,1.100000,0.800000,0.000000,BRDH
86.904000,30.445000,13.424351,22.673000,0.296086,0.296423,0.000000,CUOM
85.057000,30.729000,10.024638,22.672000,0.316333,0.294562,0.000000,JRGR
84.043000,29.534000,7.918303,25.242000,0.333999,0.300333,0.000000,YARE
30.644000,38.769000,-21.699000,-2.473000,0.296292,0.278528,0.000000,AFYO
30.761000,40.589000,-13.332000,-0.687000,0.524023,0.531084,0.000000,AGOK
30.679000,40.552000,-17.283500,-0.176500,0.368180,0.377806,0.000000,AGUZ
31.121000,37.762000,-16.659000,-4.710000,0.402727,0.358035,0.000000,AKSU
32.812000,39.660000,-26.213500,0.760000,0.371618,0.390000,0.000000,AYAG
30.588500,36.896000,-14.189000,-5.837500,0.522231,0.570636,0.000000,BHTL
30.580000,37.450000,-16.453000,-5.757000,0.590000,0.640000,0.000000,BUCK
30.297000,37.689000,-19.409000,-8.261500,0.333017,0.298329,0.000000,BURD
31.658000,37.656000,-14.437000,-1.697500,0.394620,0.460136,0.000000,BYSH
30.637000,39.658000,-24.287000,-1.344000,0.418064,0.401898,0.000000,ESKI
31.571000,37.898000,-16.058000,-2.326000,0.326497,0.344384,0.000000,HUYK
32.570000,40.881000,-6.731000,0.719500,0.506187,0.463816,0.000000,ISME
30.827000,40.735000,-8.221000,-0.067000,0.492062,0.499124,0.000000,KDER
30.550000,36.550000,-10.547000,-5.178000,0.560000,0.580000,0.000000,KEME
30.638000,40.628000,-13.804000,-0.788000,0.294618,0.297563,0.000000,KKAP
30.745000,40.652000,-11.443000,1.563000,0.665620,0.679743,0.000000,KMAL
30.270000,36.370000,-8.888000,-5.817000,0.790000,0.930000,0.000000,KMLC
32.394000,37.869000,-16.533000,2.244500,0.380789,0.455412,0.000000,KONY
30.180000,37.040000,-14.587000,-6.047000,0.560000,0.590000,0.000000,KRKU
30.026000,40.465000,-17.037000,-1.254000,0.445184,0.431354,0.000000,MEKE
30.550000,38.500000,-20.480000,-4.748000,0.790000,0.890000,0.000000,MHMT
31.495000,39.871000,-22.530000,-1.106000,0.317035,0.321680,0.000000,MIHA
30.862000,40.555000,-17.472500,0.302000,0.644438,0.651498,0.000000,PINA
32.160000,36.431000,-11.409000,0.104000,0.263523,0.243242,0.000000,SEKI
31.814000,39.564000,-20.743000,-1.827000,0.325525,0.287325,0.000000,SIVR
31.227500,38.163000,-18.429000,-5.806000,0.602080,0.726223,0.000000,SRKK
32.471000,38.237000,-19.315500,2.984000,0.330946,0.344384,0.000000,SRYN
31.000000,37.480000,-15.991000,-5.447000,0.700000,0.810000,0.000000,STCL
30.804000,40.386000,-19.824000,-1.388000,0.424794,0.424794,0.000000,TEBA
30.114000,38.016000,-20.899500,-6.908500,0.445112,0.488262,0.000000,TKIN
30.500000,37.320000,-18.845000,-7.878000,0.730000,0.860000,0.000000,UGUR
32.240000,39.099000,-23.814500,1.196500,0.527376,0.621772,0.000000,YEME
31.438000,40.937000,-3.656500,0.580500,0.371652,0.357526,0.000000,YIG2
41.057000,38.959000,-6.806500,14.792500,0.411005,0.400000,0.000000,SOLH
40.575000,38.758000,-5.020000,18.546500,0.477938,0.444325,0.000000,GENC
40.052000,38.963000,-15.881000,6.892000,0.334813,0.355575,0.000000,KLKY
39.910000,38.737000,-16.478000,11.663000,0.379012,0.368001,0.000000,SRYB
39.420000,40.151000,-3.484500,2.952500,0.221020,0.230217,0.000000,KLKT
39.164000,39.613000,-13.284000,9.486000,0.231733,0.276365,0.000000,CMGK
38.926500,39.042500,-17.608500,13.355500,0.586899,0.692965,0.000000,CMG1
38.515000,39.614000,-18.153500,10.398000,0.315634,0.379638,0.000000,DIVR
32.910000,36.321000,-9.961000,2.372000,0.300000,0.400000,0.000000,ABAN
34.803000,39.106000,-19.115000,6.760000,0.180278,0.180278,0.000000,ABDI
36.324000,39.553000,-18.068000,8.993000,0.300000,0.400000,0.000000,AKCK
33.312000,36.810000,-11.446000,6.663000,0.300000,0.400000,0.000000,AKGE
32.207000,37.200000,-11.726000,2.090000,0.300000,0.300000,0.000000,AKPN
31.481000,38.342000,-19.981000,1.807000,0.500000,0.600000,0.000000,AKSH
34.732000,38.000000,-16.212000,7.630000,0.500000,0.600000,0.000000,AKTS
35.896000,37.771000,-13.827000,10.503000,0.200000,0.300000,0.000000,AKYA
34.814000,40.145000,-20.112500,4.216000,0.488595,0.552472,0.000000,ALAC
34.043000,38.047000,-18.007000,5.945000,0.400000,0.500000,0.000000,ALHK
36.330000,37.572000,-8.474743,9.243004,0.330885,0.333640,0.000000,ANDR
32.803000,36.025000,-7.572000,3.075000,0.300000,0.300000,0.000000,ANMR
35.105000,38.242000,-19.206000,9.321000,0.400000,0.400000,0.000000,ARAP
35.657000,39.339000,-19.670000,8.708000,0.400000,0.400000,0.000000,ATEK
32.349000,40.018000,-25.226000,0.787000,0.500000,0.600000,0.000000,AYAS
33.315000,36.152000,-10.769000,4.464000,0.400000,0.400000,0.000000,AYDI
